Description: CO2 (13K)
      freq [cm-1]    absorbance      imag pt (k)       real pt (n)
       464.76790       0.0000000  -4.0000000e-06       1.2589570
       465.00890       0.0000000  -3.0000000e-06       1.2589780
       465.25000       0.0000000   3.0000000e-06       1.2590060
       465.49100       0.0000000  -7.0000000e-06       1.2590220
       465.73210       0.0000000  -3.0000000e-06       1.2590640
       465.97310       0.0000000  -2.0000000e-06       1.2590780
       466.21420       0.0000000   1.0000000e-06       1.2591130
       466.45530       0.0000000  -7.0000000e-06       1.2591230
       466.69640       0.0000000  -1.3000000e-05       1.2591720
       466.93740       0.0000000  -2.0000000e-06       1.2591940
       467.17850       0.0000000   2.0000000e-06       1.2592220
       467.41950       0.0000000  -6.0000000e-06       1.2592380
       467.66060       0.0000000  -2.0000000e-06       1.2592820
       467.90160       0.0000000  -2.0000000e-06       1.2592950
       468.14270       0.0000000   3.0000000e-06       1.2593370
       468.38380       0.0000000   4.0000000e-06       1.2593420
       468.62480       0.0000000  -2.0000000e-06       1.2593840
       468.86590       0.0000000      -0.0000000       1.2593960
       469.10700       0.0000000  -6.0000000e-06       1.2594370
       469.34800       0.0000000  -5.0000000e-06       1.2594520
       469.58910       0.0000000  -1.2000000e-05       1.2594950
       469.83010       0.0000000  -1.0000000e-05       1.2595170
       470.07120       0.0000000  -5.0000000e-06       1.2595630
       470.31230       0.0000000   6.0000000e-06       1.2595720
       470.55330       0.0000000      -0.0000000       1.2596080
       470.79440       0.0000000   3.0000000e-06       1.2596210
       471.03550       0.0000000  -5.0000000e-06       1.2596600
       471.27650       0.0000000  -2.0000000e-06       1.2596780
       471.51760       0.0000000  -9.0000000e-06       1.2597210
       471.75860       0.0000000   2.0000000e-06       1.2597420
       471.99970       0.0000000  -3.0000000e-06       1.2597720
       472.24080       0.0000000  -2.0000000e-06       1.2597970
       472.48180       0.0000000   1.0000000e-06       1.2598290
       472.72290       0.0000000  -7.0000000e-06       1.2598480
       472.96400       0.0000000  -2.0000000e-06       1.2598940
       473.20500       0.0000000  -1.0000000e-06       1.2599020
       473.44610       0.0000000  -8.0000000e-06       1.2599500
       473.68710       0.0000000   4.0000000e-06       1.2599620
       473.92820       0.0000000  -1.3000000e-05       1.2599970
       474.16930       0.0000000  -1.0000000e-05       1.2600290
       474.41030       0.0000000  -6.0000000e-06       1.2600680
       474.65140       0.0000000  -4.0000000e-06       1.2600830
       474.89250       0.0000000  -1.0000000e-05       1.2601270
       475.13350       0.0000000   1.0000000e-06       1.2601490
       475.37460       0.0000000  -4.0000000e-06       1.2601810
       475.61560       0.0000000  -3.0000000e-06       1.2602070
       475.85670       0.0000000   1.0000000e-06       1.2602450
       476.09780       0.0000000   3.0000000e-06       1.2602600
       476.33880       0.0000000  -3.0000000e-06       1.2602980
       476.57990       0.0000000  -1.0000000e-06       1.2603220
       476.82100       0.0000000   2.0000000e-06       1.2603610
       477.06200       0.0000000   4.0000000e-06       1.2603760
       477.30310       0.0000000  -3.0000000e-06       1.2604150
       477.54410       0.0000000      -0.0000000       1.2604360
       477.78520       0.0000000  -6.0000000e-06       1.2604750
       478.02620       0.0000000  -4.0000000e-06       1.2605020
       478.26730       0.0000000  -1.0000000e-06       1.2605420
       478.50840       0.0000000   2.0000000e-06       1.2605580
       478.74950       0.0000000  -4.0000000e-06       1.2605970
       478.99050       0.0000000  -3.0000000e-06       1.2606190
       479.23160       0.0000000  -8.0000000e-06       1.2606640
       479.47260       0.0000000   4.0000000e-06       1.2606860
       479.71370       0.0000000  -2.0000000e-06       1.2607190
       479.95480       0.0000000  -1.0000000e-06       1.2607430
       480.19580       0.0000000  -6.0000000e-06       1.2607840
       480.43690       0.0000000   5.0000000e-06       1.2608100
       480.67790       0.0000000  -1.0000000e-06       1.2608350
       480.91900       0.0000000  -8.0000000e-06       1.2608680
       481.16010       0.0000000  -4.0000000e-06       1.2609080
       481.40110       0.0000000  -3.0000000e-06       1.2609340
       481.64220       0.0000000   2.0000000e-06       1.2609680
       481.88320       0.0000000  -7.0000000e-06       1.2609900
       482.12430       0.0000000  -3.0000000e-06       1.2610370
       482.36540       0.0000000      -0.0000000       1.2610530
       482.60640       0.0000000  -6.0000000e-06       1.2610930
       482.84750       0.0000000  -5.0000000e-06       1.2611180
       483.08860       0.0000000  -1.0000000e-05       1.2611570
       483.32960       0.0000000  -8.0000000e-06       1.2611890
       483.57070       0.0000000  -4.0000000e-06       1.2612230
       483.81180       0.0000000  -1.2000000e-05       1.2612500
       484.05280       0.0000000  -7.0000000e-06       1.2612950
       484.29390       0.0000000  -6.0000000e-06       1.2613180
       484.53490       0.0000000  -2.0000000e-06       1.2613570
       484.77600       0.0000000  -9.0000000e-06       1.2613790
       485.01710       0.0000000  -5.0000000e-06       1.2614270
