wavenumber,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
659.98,0.000047,0.000085,0.000123,0.000176,0.000176,0.000186,0.000172,0.000167,0.000184,0.000197,0.000206,0.000219,0.000258,0.000247,0.000289,0.000313,0.000333,0.000359
661.99,0.000047,0.000084,0.000123,0.000174,0.000174,0.000184,0.000170,0.000164,0.000181,0.000194,0.000202,0.000215,0.000254,0.000243,0.000284,0.000308,0.000328,0.000353
664.01,0.000047,0.000084,0.000122,0.000174,0.000174,0.000183,0.000167,0.000161,0.000178,0.000191,0.000199,0.000211,0.000250,0.000238,0.000280,0.000303,0.000323,0.000347
666.00,0.000047,0.000084,0.000122,0.000173,0.000172,0.000182,0.000165,0.000158,0.000175,0.000188,0.000194,0.000206,0.000246,0.000233,0.000275,0.000297,0.000317,0.000341
668.00,0.000047,0.000084,0.000122,0.000172,0.000172,0.000180,0.000163,0.000156,0.000172,0.000184,0.000190,0.000202,0.000242,0.000228,0.000270,0.000292,0.000311,0.000335
670.02,0.000047,0.000084,0.000122,0.000172,0.000171,0.000179,0.000161,0.000154,0.000169,0.000182,0.000187,0.000198,0.000238,0.000224,0.000266,0.000288,0.000307,0.000331
672.00,0.000047,0.000084,0.000122,0.000171,0.000170,0.000178,0.000158,0.000151,0.000166,0.000179,0.000183,0.000194,0.000234,0.000220,0.000262,0.000283,0.000302,0.000325
673.99,0.000047,0.000084,0.000122,0.000171,0.000170,0.000177,0.000157,0.000149,0.000164,0.000176,0.000180,0.000191,0.000231,0.000216,0.000258,0.000280,0.000298,0.000321
676.00,0.000047,0.000084,0.000122,0.000170,0.000169,0.000176,0.000154,0.000146,0.000161,0.000173,0.000176,0.000187,0.000227,0.000211,0.000254,0.000274,0.000292,0.000315
678.01,0.000047,0.000084,0.000122,0.000170,0.000168,0.000174,0.000152,0.000143,0.000158,0.000170,0.000172,0.000183,0.000222,0.000206,0.000249,0.000269,0.000287,0.000309
679.99,0.000047,0.000084,0.000122,0.000169,0.000167,0.000173,0.000150,0.000141,0.000155,0.000167,0.000168,0.000178,0.000218,0.000202,0.000244,0.000264,0.000282,0.000303
