wavenumber,thetaR_0,thetaR_1,thetaR_2,thetaR_3,thetaR_4,thetaR_5,thetaR_6,thetaR_7,thetaR_8,thetaR_9,thetaR_10,thetaR_11,thetaR_12,thetaR_13,thetaR_14,thetaR_15,thetaR_16,thetaR_17,thetaR_18,thetaR_19,thetaR_20,thetaR_21,thetaR_22,thetaR_23,thetaR_24,thetaR_25,thetaR_26,thetaR_27,thetaR_28,thetaR_29,thetaR_30
1705.9024223814397,15.295754985528752,15.883710256027662,16.496180756121834,17.13352201937538,17.7959275690132,18.483391197605265,19.195664038428255,19.93220626529586,20.692133456051515,21.474157937897292,22.27652581902911,23.096950919026117,23.932547455329836,24.779764132739984,25.63432321128778,26.491169167214196,27.344432651698796,28.18741648800161,29.012611270701854,29.81174852141436,30.57589903985641,31.295622764010854,31.96117383806399,32.56276050900829,33.090853977305954,33.53653378937296,33.891850557505514,34.15018087941066,34.30654566134889,34.357862864751176,34.30310971567932
1703.8677798602828,15.296810496718738,15.885423942664696,16.49861269573911,17.13673498142542,17.799986557854954,18.488362817081498,19.20161564338591,19.9392048627224,20.700244317064282,21.48344288237891,22.28704113820934,23.10874490895776,23.94565754738707,24.794213627514196,25.6501176510888,26.508292421052804,27.362842835696995,28.20704190296433,29.033346604412348,29.833451630622466,30.598388686964068,31.31867772345407,31.984533791624095,32.58612910109087,33.11390428684166,33.55891628892764,33.91320338096169,34.17014193369253,34.324765839045824,34.37401939756192,34.31691860509139
1702.127659574468,15.296473140527695,15.884857754181516,16.49781515524881,17.135707057688993,17.79873359678699,18.486895571717156,19.19995145413055,19.937368992698477,20.69827144097249,21.48137871808241,22.284944197609754,23.10668832806309,23.943730934318754,24.7925248414041,25.64879439475132,26.507483497194176,27.362718882648952,28.20779539548756,29.035190883847942,29.83661872432414,30.603125698729485,31.325241634061104,31.99318460914476,32.597121446953416,33.127477689532824,33.57528466494073,33.93254438168356,34.192586987484745,34.35039177836801,34.402842500370156,34.3488916889563
1700.1020061203672,15.300337711689972,15.88905667484265,16.502376422701047,17.14066058274904,17.804111196804033,18.49273091911899,19.206279968009454,19.944227658859703,20.70569854378605,21.489413465562443,22.29362621964468,23.11605702698604,23.953824667511114,24.803379917968265,25.66044387320027,26.519955779403823,27.376036111839262,28.221971683431242,29.050230415173807,29.85251381330349,30.61985490481917,31.342768073735222,32.01145462841612,32.616063835052955,33.147003612114666,33.595288468101906,33.952905361980285,34.21317213914368,34.37105942517914,34.42344661146602,34.36928658451732
1698.0811682798437,15.30241614634216,15.891453994785472,16.505122925146072,17.143788700028153,17.807655475582077,18.496727945047564,19.210768220957366,19.949247281525054,20.711291004228688,21.49562109221439,22.30049158597648,23.123622162666305,23.962130074168144,24.812463371266087,25.670338999725026,26.53069040775178,27.387630413201062,28.234436138558575,29.06356367205927,29.866700532460467,30.634863724605363,31.358549862800203,32.02794122012151,32.6331674518677,33.16461717799942,33.6132869663576,33.971148321373455,34.231507225410766,34.38932698980427,34.44148492446125,34.38693737678535
1696.0651289009497,15.3033387696408,15.892793067058765,16.506915826968964,17.146074450643436,17.810474442790905,18.500121443492716,19.21477797721802,19.953914742784374,20.716656466396536,21.501722623753977,22.307363725896476,23.1312943759405,23.970624956107045,24.821794605047558,25.6805090893503,26.541688232912612,27.39942868328847,28.24698885988758,29.076803783661312,29.880537908080644,30.649183776218187,31.373213006053426,32.04278346472243,32.64800234951437,33.179239288310555,33.627476883870145,33.98467914941267,34.24415220225565,34.40086779690768,34.45172007003928,34.39568998366182
1694.0538709130951,15.303284550906016,15.892840010789456,16.50708372638068,17.14638597804011,17.810955477078604,18.500801412065584,19.21569020483073,19.955096796766306,20.718150483523818,21.50357559921601,22.30962773907213,23.134026721231397,23.973888140104155,24.82565616429205,25.68504117663825,26.54696691560034,27.40553289591379,28.253998957591445,29.084799654652638,29.889596625074436,30.65937680029718,31.384603002476414,32.05542084740139,32.66192173464428,33.19445609962379,33.64398440030078,34.00244630673509,34.26312244083822,34.42095918088251,34.47282679121401,34.41768522015495
1692.047377326565,15.304057645923159,15.89394189584965,16.508552385479504,17.14826274319055,17.813285139938895,18.503632284751806,19.219074111523003,19.959088974025633,20.72280936332051,21.508962444740707,22.315806099793157,23.14106167087471,23.981845259962455,24.834600235447883,25.6950345494858,26.558067534863433,27.417791975695728,28.267458325287308,29.099488815812517,29.905529643597294,30.676549138116894,31.402988516296514,32.07496919023089,32.68255644704039,33.21607368760762,33.66645467172868,34.02561416666749,34.28681122781608,34.44497546961443,34.49696641450801,34.441740104365074
1690.0456312320432,15.306286987046807,15.896578587239633,16.511626333149135,17.151804310665867,17.817324727788026,18.508199794088597,19.224198273078592,19.964796523992206,20.729124047840003,21.515903837119705,22.32338821886455,23.149291396095755,23.990720549609417,24.844108169422586,25.70514923846211,26.568747963148503,27.428979876067274,28.279076219065946,29.11143838805438,29.917690657283536,30.688779116272936,31.415123428851064,32.08682536370436,32.693933860929356,33.22676072589496,33.6762342621689,34.03427107494174,34.29414010000447,34.45078906558473,34.501103380838636,34.44407162623828
1688.0486158001347,15.310007986567264,15.900547950857767,16.515872881355072,17.156360518342645,17.822227122929004,18.51348937294083,19.229920922208308,19.971003435562928,20.735872109154187,21.52325596911392,22.331413630750703,23.158065714817404,24.000325773541054,24.854632386374746,25.71668603955154,26.581395477933125,27.442839352587825,28.294250077728208,29.12802769372994,29.935791982809846,30.708480815332955,31.436501398053146,32.109938450686755,32.71881916131934,33.25342909562157,33.704666436738535,34.06441481492529,34.32590875490897,34.48406185676382,34.53572755146293,34.47986641164625
