theta_i_degrees,n0_to_n0p50,n0_to_n0p55,n0_to_n0p60,n0_to_n0p65,n0_to_n0p70,n0_to_n0p75,n0_to_n0p80,n0_to_n0p85,n0_to_n0p90,n0_to_n0p95,n0_to_n1p00,n0_to_n1p05,n0_to_n1p10,n0_to_n1p15,n0_to_n1p20,n0_to_n1p25,n0_to_n1p30,n0_to_n1p35,n0_to_n1p40,n0_to_n1p45,n0_to_n1p50,n0_to_n1p55,n0_to_n1p60,n0_to_n1p65,n0_to_n1p70,n0_to_n1p75,n0_to_n1p80,n0_to_n1p85,n0_to_n1p90,n0_to_n1p95,n0_to_n2p00
10.652555255525554,4.2008442177893714,4.412908295547333,4.640148124593633,4.883873942543861,5.1455066005999095,5.426579647853287,5.728737546316551,6.053727965774383,6.403385276595811,6.779601238112188,7.184277397077899,7.6192517989198265,8.086190244928131,8.586429570471907,9.120757553341795,9.689111773579288,10.290179433454192,10.920884337222773,11.575760036225168,12.246235423357977,12.919907522283795,13.579950053617893,14.204899623605503,14.769145801869508,15.244465322000536,15.602796492354143,15.820084130416197,15.880493050615046,15.779831657030917,15.526990561737318,15.142761196702317
10.661536153615364,4.204351181169615,4.416592980015252,4.644023360566102,4.887953689934285,5.149806049207082,5.431115321257294,5.733527406358136,6.058791512966161,6.408743639325765,6.785277239955707,7.190295586540878,7.625638418991825,8.092973110331336,8.593637807812152,9.128421142999215,9.697260812140582,10.298843013112254,10.930088917893766,11.585527176185222,12.256578752051256,12.93082891242081,13.591435116112164,14.216912942465346,14.781626743596473,15.25732569694924,15.615921571259413,15.833338186550176,15.893729495006001,15.79290621076901,15.539774560211814,15.155151907243873
10.670517051705172,4.2078580568406005,4.420277574049431,4.647898503466093,4.89203334176142,5.15410539998834,5.435650894903753,5.738317165172346,6.063854958087621,6.41410189997585,6.790953140798609,7.196313677482574,7.6320249447936215,8.099755887918178,8.600845966470438,9.13608466628109,9.705409800241723,10.307506562093373,10.939293491413741,11.59529433543817,12.266922127434464,12.94175037395594,13.602920266194296,14.228926348359165,14.79410774497801,15.270186067173237,15.629046536918896,15.846591976430815,15.906965484770767,15.805980104341774,15.552557699011562,15.167541586649884
10.679497949794982,4.211364844728119,4.423962077573227,4.651773553214578,4.896112897943954,5.158404652860242,5.440186368707357,5.743106822672349,6.068918301050904,6.41946005845786,6.7966289405532345,7.2023316698170285,7.638411376242488,8.106538577611053,8.608054046376628,9.143748123127562,9.713558737836376,10.316170080368169,10.948498057773476,11.605061513997075,12.277265549542577,12.952671906941031,13.614405503920391,14.240939841324128,14.806588805996672,15.28304643255352,15.642171389060415,15.859845499588513,15.920201019219181,15.8190533368459,15.565339977057388,15.17993023372229
10.68847884788479,4.214871544757954,4.427646490509993,4.655648509732527,4.900192358400574,5.162703807739355,5.444721742582789,5.747896378771308,6.073981541768156,6.424818114683582,6.802304639131908,7.208349563458284,7.644797713255677,8.113321179332345,8.615262047460579,9.151411513478783,9.721707624878205,10.324833567907255,10.957702616963735,11.614828711875012,12.287609018410576,12.963593511427897,13.625890829346496,14.252953421397297,14.819069926634771,15.29590679297072,15.655296127411303,15.87309875555298,15.933436097660268,15.832125907377167,15.578121393269274,15.192317847262293
10.6974597459746,4.218378156855895,4.431330812783083,4.659523372940907,4.904271723049956,5.167002864542233,5.449257016444731,5.752685833382385,6.079044680151503,6.430176068564789,6.807980236446948,7.214367358320367,7.651183955750443,8.120103693004424,8.622469969652135,9.159074837274883,9.729856461320844,10.333497024681222,10.966907168975283,11.624595929085014,12.29795253407341,12.974515187468333,13.637376242528596,14.264967088615606,14.831551106874445,15.308767148305117,15.668420751698351,15.88635174385322,15.946670719402196,15.845197815030446,15.59090194656631,15.204704426070307
10.706440644064408,4.221884680947722,4.435015044315844,4.663398142760689,4.908350991810784,5.1713018231854315,5.45379219020786,5.757475186418735,6.0841077161130785,6.435533920013259,6.813655732410671,7.220385054317306,7.657570103644026,8.12688611854965,8.629677812881129,9.16673809445598,9.738005247117934,10.342160450660664,10.976111713798868,11.63436316564013,12.308296096566023,12.985436935114093,13.648861743522628,14.2769808430159,14.844032346697608,15.321627498436683,15.681545261647848,15.899604464017553,15.95990488375231,15.858269058899712,15.60368163586674,15.217089968946052
10.715421542154218,4.225391116959224,4.438699185031635,4.667272819112839,4.912430164601738,5.175600683585507,5.4583272637868525,5.762264437793512,6.089170649565005,6.4408916689407585,6.8193311269353805,7.226402651363117,7.66395615685366,8.133668455890382,8.636885577077392,9.174401284962192,9.74615398222311,10.350823845816162,10.985316251425237,11.644130421553397,12.318639705923356,12.996358754416926,13.660347332384482,14.288994684634906,14.856513646085977,15.334487843245013,15.694669656985575,15.912856915573611,15.973138590017125,15.871339638078066,15.616460460087941,15.229474474688484
10.724402440244026,4.228897464816179,4.4423832348538,4.671147401918316,4.91650924134149,5.179899445659008,5.462862237096378,5.767053587419858,6.094233480419401,6.446249315259048,6.825006419933375,7.232420149371806,7.670342115296568,8.140450704948956,8.64409326217073,9.182064408733613,9.754302666589968,10.359487210118287,10.994520781845118,11.653897696837827,12.328983362180308,13.007280645428537,13.671833009169967,14.301008613509229,14.868995005021052,15.347348182609373,15.70779393743678,15.926109098048322,15.986371837502295,15.884409551657667,15.629238418146405,15.241857942095802
10.733383338333836,4.232403724444378,4.446067193705693,4.675021891098088,4.9205882219487185,5.184198109322484,5.467397110051112,5.771842635210929,6.0992962085883855,6.451606858879893,6.830681611316957,7.238437548257381,7.676727978889969,8.147232865647714,8.651300868090955,9.189727465710352,9.762451300172135,10.36815054353759,11.003725305049233,11.663664991506446,12.339327065371807,13.018202608200623,13.683318773934866,14.313022629675382,14.881476423484154,15.360208516408699,15.720918102726221,15.93936101096792,15.99960462551266,15.897478798729807,15.642015508957787,15.25424036996547
